id,domain,concept,prerequisites,enables,first_mission,minimum_viable_understanding,defer_until_later
K022,Computing,HTTP,JSON,APIs,,"Can explain HTTP in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K023,Computing,APIs,HTTP | JSON,tool schema | latency | cost | system boundary,,"Can explain APIs in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K024,Computing,functions as interfaces,functions,workflow,M03,"Can explain functions as interfaces in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K025,Computing,testing,functions,evaluation set | tracing,M18,"Can explain testing in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K026,Computing,refactoring,functions | modules,,,"Can explain refactoring in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K027,Computing,reproducibility,virtual environments | Git,random seed,M07,"Can explain reproducibility in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K028,Data,DataFrame,CSV,Series | data types | missing data | filtering | sorting | groupby | joins | reshaping | feature engineering | visualization | labels | population and sample | batch | Dataset,M04,"Can explain DataFrame in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K029,Data,Series,DataFrame,,,"Can explain Series in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K030,Data,data types,DataFrame,,M04,"Can explain data types in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K031,Data,missing data,DataFrame,,M04,"Can explain missing data in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K032,Data,filtering,DataFrame,,M04,"Can explain filtering in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K033,Data,sorting,DataFrame,,,"Can explain sorting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K034,Data,groupby,DataFrame,,M04,"Can explain groupby in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K035,Data,joins,DataFrame,,,"Can explain joins in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K036,Data,reshaping,DataFrame,,,"Can explain reshaping in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K037,Data,feature engineering,DataFrame,data leakage | data pipeline | features,M02,"Can explain feature engineering in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K038,Data,data leakage,feature engineering,train-test split,,"Can explain data leakage in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K039,Data,train-test split,data leakage,cross-validation | data pipeline | generalization,M07,"Can explain train-test split in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K040,Data,cross-validation,train-test split,,,"Can explain cross-validation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K041,Data,visualization,DataFrame,histogram | scatter plot | bar chart | line chart,M06,"Can explain visualization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K042,Data,histogram,visualization,,M06,"Can explain histogram in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K043,Data,scatter plot,visualization,outliers,M06,"Can explain scatter plot in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K044,Data,bar chart,visualization,,M06,"Can explain bar chart in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K045,Data,line chart,visualization,,M06,"Can explain line chart in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K046,Data,outliers,scatter plot,,M06,"Can explain outliers in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K047,Data,data pipeline,feature engineering | train-test split,privacy,M07,"Can explain data pipeline in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K048,Numerical Computing,array,lists,shape | indexing | vectorized operation | tensor | vector | matrix,M05,"Can explain array in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K049,Numerical Computing,shape,array,dimension | broadcasting | matrix,M05,"Can explain shape in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K050,Numerical Computing,dimension,shape,tensor,M05,"Can explain dimension in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K051,Numerical Computing,indexing,array,,M05,"Can explain indexing in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K052,Numerical Computing,vectorized operation,array,broadcasting,,"Can explain vectorized operation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K053,Numerical Computing,broadcasting,shape | vectorized operation,,M05,"Can explain broadcasting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K054,Numerical Computing,tensor,array | dimension,PyTorch tensor,M25,"Can explain tensor in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K055,Numerical Computing,numerical precision,numbers and strings,,M10,"Can explain numerical precision in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K056,Numerical Computing,random seed,reproducibility,,M12,"Can explain random seed in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K057,Machine Learning,features,feature engineering,model | regression | classification | clustering | dimensionality reduction,M02,"Can explain features in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K058,Machine Learning,labels,DataFrame,model | loss function,M02,"Can explain labels in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K059,Machine Learning,model,features | labels,parameter | hyperparameter | training,M01,"Can explain model in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K060,Machine Learning,parameter,model,,,"Can explain parameter in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K061,Machine Learning,hyperparameter,model,,,"Can explain hyperparameter in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K062,Machine Learning,training,model,inference | epoch | fine-tuning,M02,"Can explain training in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K063,Machine Learning,inference,training,prediction,M02,"Can explain inference in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K064,Machine Learning,prediction,inference,loss function | baseline | regression | classification,M02,"Can explain prediction in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K065,Machine Learning,loss function,prediction | labels,objective function,M03,"Can explain loss function in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K066,Machine Learning,baseline,prediction,,M07,"Can explain baseline in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K067,Machine Learning,generalization,train-test split,overfitting | underfitting,,"Can explain generalization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K068,Machine Learning,overfitting,generalization,regularization | pruning,M26,"Can explain overfitting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K069,Machine Learning,underfitting,generalization,,,"Can explain underfitting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K070,Machine Learning,regularization,overfitting,dropout | weight decay,M26,"Can explain regularization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K071,Machine Learning,regression,features | prediction,linear regression,M08,"Can explain regression in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K072,Machine Learning,linear regression,regression,residual | neuron,M08,"Can explain linear regression in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K073,Machine Learning,residual,linear regression,mean absolute error | mean squared error,M08,"Can explain residual in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K074,Machine Learning,mean absolute error,residual,,M08,"Can explain mean absolute error in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K075,Machine Learning,mean squared error,residual,,M08,"Can explain mean squared error in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K076,Machine Learning,classification,features | prediction,binary classification | decision tree | KNN,M09,"Can explain classification in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K077,Machine Learning,binary classification,classification,logistic regression | classification threshold,M09,"Can explain binary classification in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K078,Machine Learning,logistic regression,binary classification,sigmoid,M08,"Can explain logistic regression in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K079,Machine Learning,sigmoid,logistic regression,,M09,"Can explain sigmoid in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K080,Machine Learning,classification threshold,binary classification,confusion matrix | ROC curve,M09,"Can explain classification threshold in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K081,Machine Learning,confusion matrix,classification threshold,precision | recall,M10,"Can explain confusion matrix in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K082,Machine Learning,precision,confusion matrix,F1 score,M10,"Can explain precision in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K083,Machine Learning,recall,confusion matrix,F1 score,M10,"Can explain recall in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K084,Machine Learning,F1 score,precision | recall,,,"Can explain F1 score in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K085,Machine Learning,ROC curve,classification threshold,AUC,,"Can explain ROC curve in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K086,Machine Learning,AUC,ROC curve,,M10,"Can explain AUC in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K087,Machine Learning,decision tree,classification,tree split | pruning | bagging | boosting,M11,"Can explain decision tree in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K088,Machine Learning,tree split,decision tree,Gini impurity | entropy split,M07,"Can explain tree split in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K089,Machine Learning,Gini impurity,tree split,,M11,"Can explain Gini impurity in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K090,Machine Learning,entropy split,tree split,,M07,"Can explain entropy split in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K091,Machine Learning,pruning,decision tree | overfitting,,M11,"Can explain pruning in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K092,Machine Learning,bagging,decision tree,random forest,M12,"Can explain bagging in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K093,Machine Learning,random forest,bagging,,M12,"Can explain random forest in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K094,Machine Learning,boosting,decision tree,gradient boosting,M12,"Can explain boosting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K095,Machine Learning,gradient boosting,boosting,,M12,"Can explain gradient boosting in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K096,Machine Learning,KNN,classification,feature scaling,M13,"Can explain KNN in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K097,Machine Learning,feature scaling,KNN,,M02,"Can explain feature scaling in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K098,Machine Learning,clustering,features,K-means | hierarchical clustering | DBSCAN,M14,"Can explain clustering in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K099,Machine Learning,K-means,clustering,centroid,M14,"Can explain K-means in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K100,Machine Learning,centroid,K-means,,M14,"Can explain centroid in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K101,Machine Learning,hierarchical clustering,clustering,,M14,"Can explain hierarchical clustering in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K102,Machine Learning,DBSCAN,clustering,,M14,"Can explain DBSCAN in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K103,Machine Learning,dimensionality reduction,features,PCA,M13,"Can explain dimensionality reduction in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K104,Machine Learning,PCA,dimensionality reduction,,,"Can explain PCA in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K105,Mathematics,coordinate,numbers and strings,vector,,"Can explain coordinate in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K106,Mathematics,vector,coordinate | array,vector magnitude | vector direction | dot product | matrix multiplication | basis | gradient | embedding,M05,"Can explain vector in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K107,Mathematics,vector magnitude,vector,cosine similarity,M05,"Can explain vector magnitude in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K108,Mathematics,vector direction,vector,,M05,"Can explain vector direction in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K109,Mathematics,dot product,vector,cosine similarity | projection | weighted sum | attention score,M15,"Can explain dot product in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K110,Mathematics,cosine similarity,dot product | vector magnitude,semantic similarity | semantic search | nearest neighbor search,M15,"Can explain cosine similarity in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K111,Mathematics,matrix,array | shape,matrix multiplication | transpose | rank | SVD,M10,"Can explain matrix in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K112,Mathematics,matrix multiplication,matrix | vector,linear transformation | scaled dot-product attention,M10,"Can explain matrix multiplication in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K113,Mathematics,transpose,matrix,,M16,"Can explain transpose in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K114,Mathematics,linear transformation,matrix multiplication,eigenvector,M08,"Can explain linear transformation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K115,Mathematics,projection,dot product,,M16,"Can explain projection in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K116,Mathematics,basis,vector,,,"Can explain basis in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K117,Mathematics,rank,matrix,SVD,M16,"Can explain rank in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K118,Mathematics,eigenvector,linear transformation,,,"Can explain eigenvector in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K119,Mathematics,SVD,matrix | rank,,,"Can explain SVD in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K120,Mathematics,random variable,probability,,M03,"Can explain random variable in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K121,Mathematics,probability,,random variable | distribution | conditional probability | likelihood | hypothesis test | information | softmax,M09,"Can explain probability in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K122,Mathematics,distribution,probability,expectation | entropy,M06,"Can explain distribution in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K123,Mathematics,expectation,distribution,variance,M17,"Can explain expectation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K124,Mathematics,variance,expectation,standard deviation | correlation,M12,"Can explain variance in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K125,Mathematics,conditional probability,probability,Bayes theorem,M09,"Can explain conditional probability in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K126,Mathematics,Bayes theorem,conditional probability,,M17,"Can explain Bayes theorem in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K127,Mathematics,likelihood,probability,,,"Can explain likelihood in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K128,Mathematics,population and sample,DataFrame,standard error | hypothesis test,M18,"Can explain population and sample in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K129,Mathematics,standard deviation,variance,standard error,M18,"Can explain standard deviation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K130,Mathematics,standard error,standard deviation | population and sample,confidence interval,M08,"Can explain standard error in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K131,Mathematics,confidence interval,standard error,,M18,"Can explain confidence interval in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K132,Mathematics,correlation,variance,,M18,"Can explain correlation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K133,Mathematics,hypothesis test,population and sample | probability,,M18,"Can explain hypothesis test in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K134,Mathematics,function,variables,slope | computational graph,M03,"Can explain function in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K135,Mathematics,slope,function,derivative,M08,"Can explain slope in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K136,Mathematics,derivative,slope,partial derivative | chain rule,M19,"Can explain derivative in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K137,Mathematics,partial derivative,derivative,gradient,M19,"Can explain partial derivative in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K138,Mathematics,gradient,partial derivative | vector,gradient descent,M19,"Can explain gradient in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K139,Mathematics,chain rule,derivative,backpropagation,M19,"Can explain chain rule in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K140,Mathematics,objective function,loss function,gradient descent,M03,"Can explain objective function in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K141,Mathematics,gradient descent,gradient | objective function,learning rate | SGD | optimizer,M19,"Can explain gradient descent in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K142,Mathematics,learning rate,gradient descent,,M01,"Can explain learning rate in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K143,Mathematics,SGD,gradient descent,momentum,M20,"Can explain SGD in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K144,Mathematics,momentum,SGD,Adam,M20,"Can explain momentum in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
